Periodo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Actividades terciarias >  43 Comercio al por mayor Aguascalientes ,1.192507885,1.145690821,1.114811589,1.16713278,1.160236798,1.215326407,1.27984329,1.402576839,1.513464086,1.512043815,1.500155755
,Actividades terciarias >  43 Comercio al por mayor Baja California ,3.508948482,3.306018859,3.201886478,3.228731688,3.135829767,3.218994869,3.191235229,3.179654967,3.351657597,3.412230223,3.455702884
,Actividades terciarias >  43 Comercio al por mayor Baja California Sur ,0.884235979,0.805273281,0.815681139,0.800569655,0.805747669,0.75971192,0.811666028,0.813763305,0.804810817,0.818384976,0.907541413
,Actividades terciarias >  43 Comercio al por mayor Campeche ,0.471759524,0.482110193,0.480394446,0.500817796,0.526849623,0.566247996,0.526554919,0.557893416,0.516367276,0.539736897,0.584065955
,Actividades terciarias >  43 Comercio al por mayor Coahuila de Zaragoza ,2.142624928,2.127999861,2.199553606,2.273043635,2.293401515,2.31271952,2.373322963,2.334522307,2.262243178,2.205184032,2.147829338
,Actividades terciarias >  43 Comercio al por mayor Colima ,0.490413504,0.534733255,0.552161523,0.585232528,0.589785485,0.560799887,0.543878071,0.553664833,0.526733579,0.569477157,0.58125004
,Actividades terciarias >  43 Comercio al por mayor Chiapas ,1.686157684,1.711060095,1.654476403,1.674894939,1.764998069,1.687493301,1.753884442,1.76545115,1.666469957,1.624947334,1.57369368
,Actividades terciarias >  43 Comercio al por mayor Chihuahua ,3.356180469,3.212909376,3.171151506,3.108925453,3.070208542,3.04082352,3.067335311,3.118391422,3.270118483,3.160141958,3.094063102
,Actividades terciarias >  43 Comercio al por mayor Ciudad de M�xico ,21.25012782,21.02441261,21.28032542,20.92993596,20.35808671,19.60438076,19.27762815,18.59072419,17.47127864,17.35129949,16.91113027
,Actividades terciarias >  43 Comercio al por mayor Durango ,1.341692963,1.362813794,1.403231273,1.304648212,1.251861057,1.202991258,1.144747264,1.139515809,1.178507169,1.101892499,1.096558295
,Actividades terciarias >  43 Comercio al por mayor Guanajuato ,4.401929204,4.464697387,4.503681504,4.583098456,4.602303249,4.651980515,4.46514739,4.380453327,4.25566918,4.642261996,5.116733971
,Actividades terciarias >  43 Comercio al por mayor Guerrero ,1.763766391,1.807773754,1.751398309,1.665888071,1.554191909,1.389336596,1.269589272,1.27332203,1.223719959,1.232905635,1.378243876
,Actividades terciarias >  43 Comercio al por mayor Hidalgo ,1.164461349,1.228770351,1.251149768,1.282880109,1.321245528,1.349999132,1.406860852,1.364227021,1.435858156,1.491124066,1.484902077
,Actividades terciarias >  43 Comercio al por mayor Jalisco ,7.849804488,7.992514015,8.006072736,8.079606611,8.229799017,8.189155445,8.441994181,8.477280519,8.749133479,8.591896955,8.944666494
,Actividades terciarias >  43 Comercio al por mayor M�xico ,8.656549586,9.015795888,8.795913797,8.852718919,9.189968367,9.839541979,10.08741033,10.97261188,11.78079736,12.09053933,12.1341011
,Actividades terciarias >  43 Comercio al por mayor Michoac�n de Ocampo ,2.651069827,2.788222809,2.806277934,2.815559498,2.818848426,2.832344254,2.955969242,2.871072752,2.931992176,3.210585994,3.177035769
,Actividades terciarias >  43 Comercio al por mayor Morelos ,0.952630578,0.937193687,0.928581101,0.935512909,0.967108838,0.984571332,0.942054026,0.942216769,0.982717058,0.970171126,0.974694776
,Actividades terciarias >  43 Comercio al por mayor Nayarit ,0.493537518,0.529779671,0.524420403,0.512906182,0.514528773,0.497979852,0.506795191,0.509398703,0.519566314,0.543959045,0.525681191
,Actividades terciarias >  43 Comercio al por mayor Nuevo Le�n ,7.558311599,7.296903228,7.729482909,7.910800292,7.978224669,8.252462428,8.504014539,8.254437668,8.08890809,8.021150715,7.963674822
,Actividades terciarias >  43 Comercio al por mayor Oaxaca ,1.769231683,1.680300468,1.605720678,1.592307273,1.614525082,1.520069296,1.375382016,1.339351299,1.293910995,1.283786271,1.243500651
,Actividades terciarias >  43 Comercio al por mayor Puebla ,2.892048417,2.91799272,2.858440782,2.85888882,2.856186643,2.954946167,2.984028406,2.907620662,2.845688798,2.880006266,2.856516176
,Actividades terciarias >  43 Comercio al por mayor Quer�taro ,2.313032691,2.332266654,2.38613202,2.525416841,2.618210399,2.532060039,2.58663471,2.710466058,2.620251814,2.537161812,2.535173526
,Actividades terciarias >  43 Comercio al por mayor Quintana Roo ,1.165852438,1.142614293,1.031255256,1.006234142,1.011613131,0.985764342,0.975283299,0.935931229,0.968012211,1.023482599,1.114386407
,Actividades terciarias >  43 Comercio al por mayor San Luis Potos� ,1.876741466,1.814708977,1.818216295,1.820598198,1.839716817,1.840184482,1.766586794,1.662522561,1.606024544,1.641211089,1.78223397
,Actividades terciarias >  43 Comercio al por mayor Sinaloa ,2.956214393,3.001156985,2.947078253,2.844967541,2.824134366,2.811272023,2.773941079,2.695715316,2.804331248,2.868846579,2.837685178
