Total actividades terciarias  
43 Comercio al por mayor  
46 Comercio al por menor  
48-49 Transportes correos y almacenamiento  
51 Informaci�n en medios masivos 
52 Servicios financieros y de seguros  
53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles   
54 Servicios profesionales - cient�ficos y t�cnicos  
55 Corporativos 
56 Servicios de apoyo a negocios y manejo de desechos y servicios de remediaci�n  
61 Servicios educativos 
62 Servicios de salud y de asistencia social  
71 Servicios de esparcimiento culturales y deportivos y otros servicios recreativos  
72 Servicios de alojamiento temporal y de preparaci�n de alimentos y bebidas 
81 Otros servicios excepto actividades gubernamentales  
93 Actividades legislativas gubernamentales de impartici�n de justicia y de organismos internacionales y extraterritoriales 
